"","X","ประเภทสถานศึกษา","ที่ตั้งสถานศึกษา","จำนวนรายวิชาที่ลงทะเบียน","จำนวนรายวิชาonline","จำนวนรายวิชาonsite","ระดับความพร้อมสถานศึกษา","videoConference","Live","LMS","groupChat","email","collapApps","clipVideo","อายุเฉลี่ยผู้สอน","ภาพรวมความสามารถในการใช้สื่อเทคโนโลยีของผู้สอน","climate.online1","climate.online2","climate.online3","climate.onsite1","climate.onsite2","climate.onsite3","เพศผู้เรียน","ระดับชั้น","ภูมิลำเนา","สไตล์การเรียนที่ชอบ","smartphone","ipad","computer","ความพร้อมของinternet","บรรยากาศที่พักอาศัย","ความสามารถผู้เรียนในการใช้เทคโนโลยี","ความคิดเห็นต่อการเรียน","interaction.online1","interaction.online2","interaction.online3","interaction.onsite1","interaction.onsite2","interaction.onsite3","ความเครียดขณะเรียนonline","ความเครียดขณะเรียนonsite","outcome.online1","outcome.online2","outcome.online3","outcome.online4","outcome.onsite1","outcome.onsite2","outcome.onsite3","outcome.onsite4"
"1",1,"โรงเรียนมัธยมศึกษา","กลาง",8,4,4,1,0,0,1,0,1,1,0,1,2,3,3,2,1,1,1,2,1,"กลาง",2,1,0,1,1,1,1,1,2,NA,2,1,1,2,5,1,2,2,1,39.7523375275783,1,1,1,41.343319289624
"2",2,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,1,1,1,1,0,1,1,1,2,5,5,3,4,2,3,1,1,"กลาง",2,1,0,1,1,1,1,2,3,3,3,2,2,2,5,3,3,2,2,46.5044352851305,2,1,1,22.6713124653351
"3",3,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,2,1,1,0,0,0,1,1,2,3,3,2,5,5,3,NA,2,1,"กลาง",2,1,0,1,1,1,2,2,3,3,3,2,2,1,1,3,2,2,3,40.6486870208702,1,1,1,43.0961697308098
"4",4,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,1,0,1,1,1,1,3,5,5,5,2,4,2,1,1,"กลาง",1,1,0,1,1,1,1,3,2,2,NA,2,2,2,4,5,1,1,2,33.0678530659092,3,2,2,26.5040177117024
"5",5,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,0,0,1,0,0,1,0,1,2,5,3,NA,4,5,4,1,1,"กลาง",1,1,0,1,1,NA,2,3,2,2,3,2,2,2,5,1,2,2,1,39.3877714884376,1,2,1,35.7340610494026
"6",6,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,2,0,0,1,0,0,1,1,1,3,4,5,NA,3,3,2,2,1,"กลาง",2,1,0,1,1,2,2,3,3,2,3,3,1,2,4,NA,2,2,1,38.996291636875,1,2,1,35.9367622061851
"7",7,"โรงเรียนมัธยมศึกษา","กลาง",8,3,5,3,1,0,1,1,0,1,1,1,3,4,5,5,1,1,1,1,1,"กลาง",1,1,0,1,1,1,1,3,3,3,3,2,2,2,2,5,1,1,2,36.3897127378968,2,1,1,26.368202596547
"8",8,"โรงเรียนมัธยมศึกษา","กลาง",7,7,0,3,0,1,1,0,0,1,1,1,3,NA,5,3,5,5,5,1,1,"กลาง",1,1,1,1,1,1,1,2,4,3,3,2,2,2,5,3,2,5,3,NA,3,2,2,44.968355189087
"9",9,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,3,1,0,0,1,1,1,1,1,3,3,2,3,NA,1,1,1,1,"กลาง",2,1,0,1,1,1,2,3,NA,3,3,2,2,2,5,4,2,2,1,47.6947510914087,3,2,1,46.1148936396571
"10",10,"โรงเรียนมัธยมศึกษา","กลาง",8,8,0,3,0,1,1,0,0,1,0,1,3,4,5,5,5,NA,3,2,1,"กลาง",2,0,0,0,1,1,1,1,3,2,2,1,2,2,5,5,1,1,1,30.023384805398,1,1,1,39.7010412986919
"11",11,"โรงเรียนมัธยมศึกษา","กลาง",8,0,8,1,0,0,0,0,0,0,0,1,3,NA,5,4,2,4,2,1,1,"กลาง",1,1,0,1,1,1,2,3,3,4,3,2,2,1,1,NA,3,2,3,61.7397661621166,1,1,1,30.3872844107469
"12",12,"โรงเรียนมัธยมศึกษา","กลาง",9,9,0,3,1,0,1,0,1,0,1,1,3,4,5,5,1,1,2,1,1,"กลาง",1,1,0,1,1,1,1,2,3,3,3,1,2,2,1,1,2,2,2,NA,2,1,1,36.0377735461397
"13",13,"โรงเรียนมัธยมศึกษา","กลาง",8,1,7,1,0,1,0,0,0,1,1,1,2,4,3,4,NA,5,3,2,1,"กลาง",2,1,0,1,1,2,1,1,2,2,1,3,2,2,3,5,2,2,2,33.8708979984591,2,1,1,24.9645386860286
